time,size1,density1,universe1,size2,density2,universe2
0.03580785,16517088,0.01,1651708800,6113134,0.01,611313400
0.00017905,34937903,0.999,34972875,4625339,0.999,4629968
0.03624988,23113054,0.04,577826350,9139178,0.04,228479450
0.02805281,1190454,0.04,29761350,31934618,0.04,798365450
0.00167608,18337109,0.5,36674218,30844480,0.5,61688960
0.04105306,39096614,0.01,3909661400,1461274,0.01,146127400
0.05677605,6615059,0.01,661505900,38152926,0.01,3815292600
0.01827812,14647053,0.1,146470530,34012039,0.1,340120390
0.00051904,30621630,0.999,30652282,38333448,0.999,38371819
0.07570481,25623667,0.04,640591675,32805354,0.04,820133850
0.10802794,24853312,0.01,2485331200,37853758,0.01,3785375800
0.00021696,28616507,0.999,28645152,11116536,0.999,11127663
0.05519795,16658062,0.01,1665806200,13534121,0.01,1353412100
0.00058007,33717762,0.999,33751513,38464980,0.999,38503483
0.04733586,15431180,0.04,385779500,22682252,0.04,567056300
0.09702516,29437870,0.01,2943787000,23718350,0.01,2371835000
0.00013614,12266986,0.999,12279265,7710855,0.999,7718573
0.00812078,14255279,0.1,142552790,8671196,0.1,86711960
0.00021982,25391815,0.999,25417232,11383913,0.999,11395308
0.0004921,34146634,0.999,34180814,18248195,0.999,18266461
0.00190401,37422656,0.5,74845312,17111070,0.5,34222140
0.00185704,29239808,0.5,58479616,30424628,0.5,60849256
0.00035906,39548832,0.999,39588420,19578888,0.999,19598486
0.06318712,32196933,0.01,3219693300,10708566,0.01,1070856600
0.001302,21907791,0.5,43815582,20049506,0.5,40099012
0.00156188,28320206,0.5,56640412,17813212,0.5,35626424
0.00050592,31341624,0.999,31372996,34131880,0.999,34166046
0.05444384,35298903,0.04,882472575,13088446,0.04,327211150
0.10219789,19268895,0.01,1926889500,24216574,0.01,2421657400
9.894e-05,1735511,0.999,1737248,34753797,0.999,34788585
0.00160718,25952185,0.5,51904370,28250675,0.5,56501350
0.00057197,1535840,0.5,3071680,12746488,0.5,25492976
0.07578993,35031643,0.01,3503164300,13485117,0.01,1348511700
0.03001118,6924302,0.01,692430200,10823361,0.01,1082336100
0.07034421,37656694,0.04,941417350,20931422,0.04,523285550
0.03559399,7032878,0.04,175821950,26806926,0.04,670173150
0.09625816,34876524,0.01,3487652400,20498681,0.01,2049868100
0.04208302,25570612,0.04,639265300,10993612,0.04,274840300
0.07748199,36227661,0.01,3622766100,13831287,0.01,1383128700
0.01883388,35648601,0.1,356486010,6623701,0.1,66237010
0.11722302,34772404,0.01,3477240400,34684728,0.01,3468472800
0.00025702,15223523,0.999,15238761,21235751,0.999,21257008
0.01246595,12988186,0.1,129881860,21530226,0.1,215302260
0.05414295,10714423,0.01,1071442300,23341914,0.01,2334191400
0.05199409,13951607,0.04,348790175,31314379,0.04,782859475
0.00049996,31776240,0.999,31808048,31072945,0.999,31104049
0.00237918,38609414,0.5,77218828,37698222,0.5,75396444
0.00098705,12759637,0.5,25519274,17756379,0.5,35512758
0.00020385,28505864,0.999,28534398,10431826,0.999,10442268
0.01587009,4336728,0.1,43367280,31754102,0.1,317541020
0.00060105,37961752,0.999,37999751,37440342,0.999,37477819
0.03594303,31304309,0.01,3130430900,1783673,0.01,178367300
0.01941991,38642893,0.1,386428930,1361520,0.1,13615200
0.04986811,29813715,0.04,745342875,13460087,0.04,336502175
0.10227299,24961860,0.01,2496186000,33503175,0.01,3350317500
0.01030016,917390,0.04,22934750,10739551,0.04,268488775
0.00027514,17266627,0.999,17283910,18639120,0.999,18657777
0.01758289,33079728,0.1,330797280,9678482,0.1,96784820
0.01227498,21868774,0.1,218687740,12719718,0.1,127197180
0.01884794,34016257,0.1,340162570,14721858,0.1,147218580
0.07746482,34290120,0.04,857253000,26228673,0.04,655716825
0.02450395,3380393,0.04,84509825,22224452,0.04,555611300
0.01359987,5276595,0.1,52765950,26821825,0.1,268218250
0.00056791,36171004,0.999,36207211,27089761,0.999,27116877
0.00023413,11961784,0.999,11973757,30660830,0.999,30691521
0.01746511,29740664,0.1,297406640,26484366,0.1,264843660
0.06295395,22077201,0.01,2207720100,14587932,0.01,1458793200
0.04038501,3019486,0.01,301948600,32689229,0.01,3268922900
0.00030708,29595089,0.999,29624713,16721550,0.999,16738288
0.06402802,22297512,0.01,2229751200,14605735,0.01,1460573500
0.10022116,31611330,0.04,790283250,36513389,0.04,912834725
0.0178318,12644492,0.1,126444920,33563009,0.1,335630090
0.00180292,38824407,0.5,77648814,8921027,0.5,17842054
0.02036309,2029427,0.04,50735675,19793451,0.04,494836275
0.06763291,23887533,0.04,597188325,25728706,0.04,643217650
0.00132298,23661528,0.5,47323056,15971171,0.5,31942342
0.03357816,1198439,0.01,119843900,27934334,0.01,2793433400
0.00180507,32122271,0.5,64244542,20040635,0.5,40081270
0.05884695,29814594,0.01,2981459400,9495960,0.01,949596000
0.10529399,27314320,0.01,2731432000,33766995,0.01,3376699500
7.2e-05,350640,0.999,350990,30774371,0.999,30805176
8.202e-05,36873993,0.999,36910903,316773,0.999,317090
0.000211,11034819,0.999,11045864,29103667,0.999,29132799
0.00114202,10671449,0.5,21342898,22605425,0.5,45210850
0.00150204,11224561,0.5,22449122,30437393,0.5,60874786
0.07865191,27138668,0.04,678466700,34002266,0.04,850056650
0.00181699,30309252,0.5,60618504,23478066,0.5,46956132
0.0721941,14313323,0.01,1431332300,29861625,0.01,2986162500
