time,size1,density1,universe1,size2,density2,universe2
0.02420998,6626389,0.04,165659725,14324976,0.04,358124400
0.00023293,11058116,0.999,11069185,36088197,0.999,36124321
0.02406311,7792060,0.04,194801500,11431450,0.04,285786250
0.04537416,4917799,0.01,491779900,27658148,0.01,2765814800
0.02181506,15465073,0.1,154650730,39422824,0.1,394228240
0.05397391,10539480,0.01,1053948000,23655691,0.01,2365569100
0.00046206,31016710,0.999,31047757,28472355,0.999,28500855
0.00104403,11525797,0.5,23051594,19789389,0.5,39578778
0.01293206,22134567,0.1,221345670,18244402,0.1,182444020
0.00059915,10590989,0.5,21181978,5221179,0.5,10442358
0.03884101,652272,0.01,65227200,38168672,0.01,3816867200
0.00035691,22314485,0.999,22336821,23541582,0.999,23565147
0.00038004,33310520,0.999,33343863,22160181,0.999,22182363
0.00194097,30829905,0.5,61659810,30074374,0.5,60148748
0.00200605,36700144,0.5,73400288,21491892,0.5,42983784
0.00064707,15524125,0.5,31048250,1792880,0.5,3585760
0.00045204,32321912,0.999,32354266,27419099,0.999,27446545
0.00181293,30512058,0.5,61024116,25734007,0.5,51468014
0.08288479,29381054,0.04,734526350,32467624,0.04,811690600
0.06698704,9261840,0.01,926184000,38980796,0.01,3898079600
5.293e-05,2219029,0.999,2221250,7780973,0.999,7788761
0.00030303,13758384,0.999,13772156,36168755,0.999,36204959
0.01199007,15407441,0.1,154074410,20550869,0.1,205508690
0.04179502,38309012,0.01,3830901200,1580898,0.01,158089800
0.01672602,307654,0.04,7691350,18965675,0.04,474141875
0.07285404,21881190,0.01,2188119000,18229127,0.01,1822912700
0.00040483,33871817,0.999,33905722,23963552,0.999,23987539
0.00192094,19019428,0.5,38038856,36306375,0.5,72612750
0.04346704,3517922,0.01,351792200,27151923,0.01,2715192300
0.01993585,17469824,0.1,174698240,36127646,0.1,361276460
0.00994277,16877163,0.1,168771630,11718394,0.1,117183940
0.01918817,35481435,0.1,354814350,10348299,0.1,103482990
0.00044203,30790577,0.999,30821398,27042605,0.999,27069674
0.00150895,24162485,0.5,48324970,24028250,0.5,48056500
