time,size1,density1,universe1,size2,density2,universe2
0.000103,11597356,0.999,11608964,5708587,0.999,5714301
0.06361008,39944944,0.04,998623600,22211504,0.04,555287600
0.05628896,24478666,0.01,2447866600,15239434,0.01,1523943400
0.01772594,28391779,0.1,283917790,39092004,0.1,390920040
0.00354981,8198747,0.1,81987470,5731131,0.1,57311310
0.00126219,28416222,0.5,56832444,30321827,0.5,60643654
0.01684213,24629076,0.1,246290760,37412803,0.1,374128030
0.03457689,7747083,0.01,774708300,19023218,0.01,1902321800
0.04225516,21559991,0.01,2155999100,10746086,0.01,1074608600
0.02740502,28385970,0.01,2838597000,1413286,0.01,141328600
0.00071216,3781841,0.5,7563682,23922354,0.5,47844708
0.01799893,26896932,0.1,268969320,39842959,0.1,398429590
0.03183508,1370332,0.01,137033200,38192748,0.01,3819274800
0.04427695,28050980,0.04,701274500,15614703,0.04,390367575
0.00011086,28226626,0.999,28254880,4000488,0.999,4004492
0.00114989,31260953,0.5,62521906,16444834,0.5,32889668
0.00043082,33865019,0.999,33898917,28082010,0.999,28110120
0.00056195,9905247,0.5,19810494,17361191,0.5,34722382
0.07108283,39674548,0.04,991863700,26493675,0.04,662341875
0.02046204,1677618,0.04,41940450,29058001,0.04,726450025
0.10022306,31556737,0.01,3155673700,39457714,0.01,3945771400
0.00057197,20227792,0.5,40455584,2747755,0.5,5495510
