time,large1,dense1,large2,dense2,copy_on_write,run_containers,amalgamation,gcc_optimization,avx_enabled,size1,universe1,size2,universe2
0.00042319,True,False,True,True,False,True,False,True,False,1048581,67109188,1048578,1572870
0.00279021,True,False,True,False,True,True,False,True,True,1048576,67108864,1048570,67108487
2.003e-05,True,True,True,True,True,True,True,True,False,1048566,1572857,1048571,1572861
0.00456691,True,True,True,True,True,False,True,True,False,1048569,1572853,1048577,1572865
2.789e-05,True,True,True,True,True,True,False,True,False,1048573,1572867,1048584,1572883
0.00277901,True,False,True,False,True,True,True,True,True,1048584,67109378,1048584,67109382
0.00257087,True,False,True,True,False,False,False,True,False,1048579,67109059,1048572,1572862
0.00195289,True,False,True,True,True,False,True,True,True,1048566,67108226,1048582,1572881
0.00460696,True,True,True,True,False,False,False,True,True,1048576,1572868,1048571,1572857
0.002002,True,True,True,False,True,False,True,True,True,1048578,1572875,1048570,67108483
5.603e-05,True,False,True,True,True,True,False,True,True,1048572,67108617,1048575,1572862
0.00460005,True,True,True,True,False,False,False,True,False,1048586,1572888,1048582,1572874
0.00210595,True,True,True,False,True,False,False,True,False,1048583,1572874,1048575,67108801
0.00279903,True,False,True,False,False,True,True,True,False,1048576,67108870,1048580,67109127
0.0028019,True,False,True,False,True,False,False,True,True,1048568,67108362,1048585,67109448
0.0024991,True,True,True,False,False,False,True,True,True,1048567,1572860,1048570,67108488
0.00198579,True,True,True,False,True,False,False,True,True,1048581,1572876,1048581,67109185
0.00060511,True,True,True,False,False,True,False,True,False,1048566,1572849,1048571,67108553
0.00241208,True,False,True,True,False,False,True,True,True,1048585,67109441,1048584,1572885
0.00279498,True,False,True,False,True,False,True,True,False,1048566,67108229,1048585,67109445
2.098e-05,True,True,True,True,True,True,False,True,True,1048576,1572866,1048585,1572883
0.00921988,True,False,True,False,True,True,False,True,False,1048571,67108544,1048579,67109061
0.00280619,True,False,True,False,False,True,True,True,True,1048569,67108419,1048568,67108357
0.00259209,True,True,True,False,False,False,False,True,False,1048570,1572858,1048573,67108680
0.00923085,True,False,True,False,False,True,False,True,False,1048579,67109063,1048586,67109510
0.00279093,True,False,True,False,False,False,False,True,True,1048580,67109129,1048576,67108867
2.289e-05,True,True,True,True,False,True,False,True,True,1048582,1572876,1048576,1572868
0.00242686,True,False,True,True,False,False,False,True,True,1048566,67108227,1048570,1572865
0.00279093,True,False,True,False,True,True,True,True,False,1048568,67108356,1048586,67109512
0.000386,True,False,True,True,False,True,True,True,True,1048573,67108681,1048579,1572873
0.00456405,True,True,True,True,False,False,True,True,True,1048571,1572861,1048572,1572867
1.884e-05,True,True,True,True,False,True,True,True,False,1048566,1572851,1048582,1572879
0.00278807,True,False,True,False,True,False,True,True,True,1048579,67109065,1048583,67109320
0.00059891,True,True,True,False,False,True,True,True,False,1048583,1572874,1048584,67109378
0.00243306,True,False,True,True,False,False,True,True,False,1048584,67109377,1048569,1572854
0.00461006,True,True,True,True,True,False,False,True,False,1048568,1572855,1048579,1572875
1.907e-05,True,True,True,True,True,True,True,True,True,1048574,1572862,1048572,1572867
0.00011992,True,True,True,False,True,True,False,True,False,1048570,1572861,1048569,67108426
0.00035596,True,False,True,True,False,True,True,True,False,1048569,67108420,1048570,1572858
0.00278497,True,False,True,False,False,True,False,True,True,1048576,67108873,1048582,67109257
0.00458694,True,True,True,True,False,False,True,True,False,1048586,1572885,1048572,1572858
0.00925589,True,False,True,False,False,False,False,True,False,1048569,67108424,1048581,67109192
0.00059581,True,True,True,False,False,True,True,True,True,1048570,1572862,1048572,67108609
0.00277495,True,False,True,False,False,False,True,True,False,1048566,67108228,1048566,67108234
6.413e-05,True,False,True,True,True,True,True,True,True,1048578,67109002,1048577,1572869
0.00250316,True,True,True,False,False,False,True,True,False,1048568,1572854,1048567,67108293
1.907e-05,True,True,True,True,False,True,True,True,True,1048584,1572883,1048571,1572856
9.99e-05,True,True,True,False,True,True,True,True,False,1048584,1572878,1048575,67108804
0.00460386,True,True,True,True,True,False,False,True,True,1048584,1572884,1048571,1572861
0.00457907,True,True,True,True,True,False,True,True,True,1048575,1572866,1048568,1572856
0.00061488,True,True,True,False,False,True,False,True,False,1048570,1572857,1048585,67109443
0.00061703,True,True,True,False,False,True,False,True,True,1048579,1572877,1048571,67108549
0.00923204,True,False,True,False,True,True,False,True,False,1048584,67109378,1048573,67108675
0.00205398,True,False,True,True,True,False,False,True,False,1048576,67108869,1048581,1572874
2.098e-05,True,True,True,True,False,True,False,True,True,1048575,1572871,1048567,1572859
2.098e-05,True,True,True,True,False,True,True,True,True,1048570,1572861,1048579,1572871
0.00249004,True,True,True,False,False,False,True,True,True,1048586,1572886,1048573,67108682
0.00010514,True,True,True,False,True,True,True,True,False,1048578,1572869,1048567,67108297
0.00278711,True,False,True,False,True,True,True,True,False,1048585,67109447,1048570,67108482
0.00061083,True,True,True,False,False,True,True,True,True,1048585,1572880,1048577,67108936
0.0027709,True,False,True,False,True,False,False,True,True,1048585,67109450,1048568,67108359
0.00194812,True,False,True,True,True,False,True,True,True,1048572,67108617,1048583,1572875
0.00455999,True,True,True,True,True,False,True,True,False,1048585,1572882,1048581,1572872
0.00010109,True,True,True,False,True,True,False,True,True,1048574,1572871,1048573,67108675
0.00242496,True,False,True,True,False,False,True,True,False,1048583,67109315,1048576,1572874
0.00194311,True,False,True,True,True,False,False,True,True,1048582,67109252,1048582,1572876
2.313e-05,True,True,True,True,True,True,True,True,True,1048580,1572870,1048581,1572872
0.00461102,True,True,True,True,True,False,False,True,True,1048576,1572868,1048573,1572868
0.00458694,True,True,True,True,True,False,False,True,False,1048577,1572867,1048569,1572863
1.907e-05,True,True,True,True,True,True,True,True,False,1048585,1572883,1048574,1572861
6.509e-05,True,False,True,True,True,True,True,True,True,1048583,67109314,1048586,1572881
0.00924397,True,False,True,False,False,True,False,True,False,1048582,67109254,1048585,67109449
2.718e-05,True,True,True,True,False,True,False,True,False,1048583,1572884,1048583,1572878
0.00252604,True,False,True,True,False,False,False,True,False,1048586,67109506,1048568,1572852
0.00259519,True,True,True,False,False,False,False,True,False,1048576,1572872,1048567,67108298
0.00922704,True,False,True,False,False,False,False,True,False,1048578,67109001,1048582,67109251
6.008e-05,True,False,True,True,True,True,True,True,False,1048578,67108999,1048572,1572861
0.00456405,True,True,True,True,False,False,True,True,True,1048580,1572873,1048583,1572877
0.00242901,True,False,True,True,False,False,True,True,True,1048579,67109065,1048581,1572872
0.00279808,True,False,True,False,True,False,True,True,True,1048578,67108993,1048581,67109188
2.694e-05,True,True,True,True,True,True,False,True,False,1048586,1572885,1048586,1572882
0.00199986,True,True,True,False,True,False,False,True,True,1048569,1572857,1048575,67108802
0.00200105,True,True,True,False,True,False,True,True,True,1048579,1572878,1048586,67109506
0.00276899,True,False,True,False,False,False,False,True,True,1048586,67109512,1048581,67109193
0.00248504,True,True,True,False,False,False,False,True,True,1048574,1572868,1048572,67108617
0.00284505,True,False,True,False,True,True,True,True,True,1048584,67109382,1048580,67109123
0.00458312,True,True,True,True,False,False,True,True,False,1048585,1572880,1048577,1572866
0.00060391,True,True,True,False,False,True,True,True,False,1048572,1572859,1048573,67108682
0.00926018,True,False,True,False,True,False,False,True,False,1048568,67108353,1048568,67108355
0.00199986,True,True,True,False,True,False,True,True,False,1048582,1572880,1048570,67108483
0.00037479,True,False,True,True,False,True,False,True,False,1048571,67108553,1048574,1572865
1.979e-05,True,True,True,True,False,True,True,True,False,1048577,1572872,1048579,1572869
0.0027678,True,False,True,False,True,True,False,True,True,1048569,67108426,1048577,67108928
0.00278211,True,False,True,False,True,False,True,True,False,1048568,67108355,1048568,67108362
0.00036192,True,False,True,True,False,True,True,True,True,1048567,67108293,1048578,1572867
0.00279617,True,False,True,False,False,True,True,True,True,1048572,67108610,1048576,67108864
0.0045948,True,True,True,True,False,False,False,True,False,1048571,1572857,1048584,1572879
0.00243902,True,False,True,True,False,False,False,True,True,1048571,67108551,1048578,1572871
0.00278401,True,False,True,False,False,False,True,True,True,1048567,67108298,1048574,67108737
0.00459504,True,True,True,True,False,False,False,True,True,1048567,1572857,1048579,1572873
2.003e-05,True,True,True,True,True,True,False,True,True,1048574,1572865,1048576,1572869
0.00457001,True,True,True,True,True,False,True,True,True,1048566,1572857,1048586,1572886
0.00195503,True,False,True,True,True,False,True,True,False,1048580,67109124,1048583,1572879
6.795e-05,True,False,True,True,True,True,False,True,False,1048575,67108804,1048574,1572862
0.0001142,True,True,True,False,True,True,False,True,False,1048584,1572880,1048582,67109257
0.00279403,True,False,True,False,False,True,False,True,True,1048568,67108356,1048570,67108484
0.00010681,True,True,True,False,True,True,True,True,True,1048581,1572879,1048586,67109514
0.00036097,True,False,True,True,False,True,False,True,True,1048579,67109057,1048573,1572867
0.00277996,True,False,True,False,False,True,True,True,False,1048568,67108358,1048582,67109258
0.00045586,True,False,True,True,False,True,True,True,False,1048585,67109440,1048586,1572886
5.698e-05,True,False,True,True,True,True,False,True,True,1048577,67108929,1048575,1572862
0.00276804,True,False,True,False,False,False,True,True,False,1048574,67108741,1048566,67108225
0.00248504,True,True,True,False,False,False,True,True,False,1048566,1572858,1048584,67109378
0.00210381,True,True,True,False,True,False,False,True,False,1048586,1572885,1048567,67108297
2.098e-05,True,True,True,True,False,True,True,True,True,1048574,1572864,1048566,1572849
0.00041103,True,False,True,True,False,True,True,True,False,1048578,67109001,1048584,1572882
0.00922894,True,False,True,False,True,False,False,True,False,1048577,67108930,1048575,67108805
0.00033903,True,False,True,True,False,True,False,True,True,1048566,67108227,1048586,1572882
0.00460505,True,True,True,True,False,False,False,True,False,1048572,1572866,1048574,1572871
0.00459003,True,True,True,True,False,False,True,True,False,1048584,1572876,1048566,1572851
0.00278187,True,False,True,False,False,True,True,True,True,1048574,67108739,1048582,67109250
2.003e-05,True,True,True,True,True,True,True,True,True,1048574,1572871,1048569,1572854
0.00060296,True,True,True,False,False,True,True,True,False,1048570,1572861,1048568,67108358
0.00011683,True,True,True,False,True,True,False,True,False,1048584,1572881,1048582,67109253
2.718e-05,True,True,True,True,False,True,False,True,False,1048572,1572859,1048572,1572861
0.00210905,True,True,True,False,True,False,False,True,False,1048581,1572874,1048572,67108618
0.00279498,True,False,True,False,False,False,True,True,False,1048572,67108612,1048576,67108873
0.000108,True,True,True,False,True,True,False,True,True,1048579,1572869,1048584,67109384
0.00250006,True,True,True,False,False,False,True,True,True,1048583,1572877,1048581,67109189
2.694e-05,True,True,True,True,True,True,False,True,False,1048585,1572886,1048580,1572879
6.604e-05,True,False,True,True,True,True,True,True,False,1048585,67109447,1048585,1572881
0.00059295,True,True,True,False,False,True,False,True,True,1048572,1572863,1048580,67109130
0.00043392,True,False,True,True,False,True,True,True,True,1048583,67109316,1048584,1572877
0.00460911,True,True,True,True,True,False,False,True,True,1048585,1572877,1048585,1572881
0.00923896,True,False,True,False,False,False,False,True,False,1048577,67108934,1048579,67109056
0.00277805,True,False,True,False,True,False,True,True,True,1048576,67108865,1048570,67108488
0.00060987,True,True,True,False,False,True,True,True,True,1048581,1572881,1048574,67108743
0.00280094,True,False,True,False,True,True,True,True,False,1048572,67108618,1048577,67108931
0.00279284,True,False,True,False,False,False,False,True,True,1048569,67108423,1048580,67109128
0.00010085,True,True,True,False,True,True,True,True,False,1048578,1572871,1048586,67109505
0.00060487,True,True,True,False,False,True,False,True,False,1048566,1572851,1048567,67108289
7.51e-05,True,False,True,True,True,True,False,True,False,1048568,67108357,1048584,1572884
0.00194597,True,False,True,True,True,False,False,True,True,1048577,67108928,1048574,1572863
0.00280404,True,False,True,False,False,False,True,True,True,1048580,67109126,1048570,67108482
0.00242305,True,False,True,True,False,False,True,True,False,1048581,67109191,1048581,1572871
0.00456095,True,True,True,True,False,False,True,True,True,1048573,1572868,1048579,1572875
0.00459003,True,True,True,True,True,False,False,True,False,1048572,1572862,1048578,1572872
0.00010395,True,True,True,False,True,True,True,True,True,1048584,1572884,1048582,67109248
0.00194907,True,False,True,True,True,False,True,True,True,1048575,67108810,1048586,1572883
0.00244617,True,False,True,True,False,False,True,True,True,1048574,67108743,1048571,1572858
2.003e-05,True,True,True,True,True,True,True,True,False,1048577,1572869,1048586,1572882
0.00278592,True,False,True,False,True,False,True,True,False,1048579,67109061,1048576,67108866
0.00924301,True,False,True,False,False,True,False,True,False,1048586,67109512,1048571,67108550
1.907e-05,True,True,True,True,False,True,True,True,False,1048566,1572856,1048571,1572861
0.00459194,True,True,True,True,False,False,False,True,True,1048585,1572887,1048566,1572858
0.00195098,True,False,True,True,True,False,True,True,False,1048582,67109252,1048585,1572880
0.00278807,True,False,True,False,False,True,True,True,False,1048579,67109066,1048583,67109321
0.00279403,True,False,True,False,True,True,True,True,True,1048576,67108872,1048575,67108807
0.00455499,True,True,True,True,True,False,True,True,True,1048574,1572868,1048571,1572858
3.004e-05,True,True,True,True,True,True,False,True,True,1048581,1572871,1048586,1572883
2.313e-05,True,True,True,True,False,True,False,True,True,1048583,1572879,1048575,1572871
0.00278902,True,False,True,False,True,False,False,True,True,1048583,67109314,1048566,67108233
0.00199223,True,True,True,False,True,False,True,True,True,1048573,1572865,1048581,67109189
0.00279212,True,False,True,False,False,True,False,True,True,1048581,67109189,1048578,67108997
0.00254416,True,False,True,True,False,False,False,True,False,1048584,67109378,1048582,1572879
0.00252485,True,False,True,True,False,False,False,True,True,1048577,67108936,1048566,1572850
0.00199485,True,True,True,False,True,False,True,True,False,1048577,1572871,1048569,67108425
0.00923395,True,False,True,False,True,True,False,True,False,1048582,67109255,1048575,67108808
0.00259805,True,True,True,False,False,False,False,True,False,1048570,1572859,1048568,67108362
6.199e-05,True,False,True,True,True,True,False,True,True,1048566,67108233,1048575,1572866
0.002002,True,True,True,False,True,False,False,True,True,1048580,1572873,1048572,67108612
0.0045681,True,True,True,True,True,False,True,True,False,1048571,1572864,1048581,1572881
0.000386,True,False,True,True,False,True,False,True,False,1048580,67109123,1048580,1572880
0.00249195,True,True,True,False,False,False,True,True,False,1048570,1572856,1048583,67109322
0.0020659,True,False,True,True,True,False,False,True,False,1048582,67109255,1048586,1572882
6.008e-05,True,False,True,True,True,True,True,True,True,1048570,67108480,1048569,1572853
0.00277019,True,False,True,False,True,True,False,True,True,1048579,67109065,1048573,67108678
0.0024991,True,True,True,False,False,False,False,True,True,1048584,1572883,1048584,67109376
0.00278187,True,False,True,False,True,True,True,True,True,1048583,67109313,1048578,67108993
0.00278687,True,False,True,False,False,True,True,True,True,1048573,67108675,1048575,67108805
0.00211596,True,True,True,False,True,False,False,True,False,1048577,1572868,1048585,67109440
9.894e-05,True,True,True,False,True,True,True,True,True,1048574,1572863,1048576,67108868
0.00244284,True,False,True,True,False,False,True,True,False,1048581,67109185,1048576,1572867
5.698e-05,True,False,True,True,True,True,False,True,True,1048581,67109187,1048571,1572863
0.00199199,True,True,True,False,True,False,False,True,True,1048579,1572871,1048577,67108936
0.00039601,True,False,True,True,False,True,True,True,False,1048583,67109321,1048571,1572859
0.00250101,True,True,True,False,False,False,True,True,True,1048567,1572855,1048586,67109508
0.00010991,True,True,True,False,True,True,False,True,False,1048570,1572857,1048576,67108874
0.00201821,True,True,True,False,True,False,True,True,False,1048583,1572878,1048582,67109251
2.003e-05,True,True,True,True,True,True,False,True,True,1048576,1572865,1048567,1572852
0.0026052,True,True,True,False,False,False,False,True,False,1048578,1572867,1048579,67109063
0.000103,True,True,True,False,True,True,True,True,False,1048583,1572884,1048575,67108801
0.00249815,True,True,True,False,False,False,True,True,False,1048571,1572857,1048570,67108482
0.00924206,True,False,True,False,False,True,False,True,False,1048580,67109122,1048582,67109257
0.00194693,True,False,True,True,True,False,True,True,False,1048578,67109001,1048582,1572875
0.00922704,True,False,True,False,False,False,False,True,False,1048573,67108680,1048575,67108808
0.00059795,True,True,True,False,False,True,True,True,False,1048571,1572858,1048570,67108480
0.00279284,True,False,True,False,True,True,True,True,False,1048570,67108488,1048571,67108547
0.00276804,True,False,True,False,True,False,False,True,True,1048570,67108489,1048579,67109057
0.00461602,True,True,True,True,True,False,False,True,False,1048566,1572853,1048575,1572868
0.00922298,True,False,True,False,True,True,False,True,False,1048566,67108234,1048579,67109057
2.193e-05,True,True,True,True,True,True,True,True,False,1048575,1572869,1048570,1572857
1.907e-05,True,True,True,True,False,True,False,True,True,1048567,1572860,1048569,1572856
0.0024991,True,True,True,False,False,False,False,True,True,1048570,1572856,1048585,67109444
0.00278616,True,False,True,False,False,False,True,True,False,1048575,67108801,1048579,67109064
0.00458002,True,True,True,True,False,False,False,True,True,1048581,1572877,1048576,1572867
2.408e-05,True,True,True,True,False,True,True,True,True,1048578,1572873,1048585,1572886
0.00242996,True,False,True,True,False,False,True,True,True,1048571,67108550,1048581,1572873
0.00458598,True,True,True,True,False,False,True,True,True,1048575,1572871,1048569,1572860
0.00060606,True,True,True,False,False,True,False,True,True,1048585,1572884,1048585,67109446
0.00460792,True,True,True,True,True,False,False,True,True,1048577,1572875,1048572,1572864
6.294e-05,True,False,True,True,True,True,True,True,False,1048586,67109513,1048584,1572880
0.00045085,True,False,True,True,False,True,False,True,False,1048575,67108800,1048584,1572876
0.00279093,True,False,True,False,True,False,True,True,True,1048575,67108802,1048568,67108359
2.193e-05,True,True,True,True,False,True,True,True,False,1048570,1572856,1048580,1572871
0.00059891,True,True,True,False,False,True,True,True,True,1048574,1572871,1048580,67109121
0.00279784,True,False,True,False,False,False,True,True,True,1048586,67109506,1048572,67108610
6.795e-05,True,False,True,True,True,True,False,True,False,1048580,67109130,1048567,1572858
2.694e-05,True,True,True,True,False,True,False,True,False,1048571,1572864,1048573,1572860
0.00279212,True,False,True,False,False,False,False,True,True,1048575,67108806,1048586,67109506
6.294e-05,True,False,True,True,True,True,True,True,True,1048574,67108738,1048584,1572880
0.0019989,True,True,True,False,True,False,True,True,True,1048586,1572885,1048581,67109191
0.00278807,True,False,True,False,True,False,True,True,False,1048585,67109449,1048581,67109191
0.00456905,True,True,True,True,True,False,True,True,True,1048580,1572875,1048580,1572872
0.002527,True,False,True,True,False,False,False,True,False,1048574,67108739,1048586,1572885
0.00194192,True,False,True,True,True,False,True,True,True,1048580,67109129,1048566,1572855
0.00060892,True,True,True,False,False,True,False,True,False,1048586,1572879,1048579,67109058
2.003e-05,True,True,True,True,True,True,True,True,True,1048569,1572855,1048583,1572878
0.00456405,True,True,True,True,False,False,True,True,False,1048569,1572863,1048569,1572861
0.00459194,True,True,True,True,False,False,False,True,False,1048582,1572875,1048584,1572880
0.00034809,True,False,True,True,False,True,False,True,True,1048567,67108288,1048568,1572856
0.00205517,True,False,True,True,True,False,False,True,False,1048570,67108490,1048571,1572866
0.00194097,True,False,True,True,True,False,False,True,True,1048571,67108549,1048584,1572878
0.00278997,True,False,True,False,False,True,True,True,False,1048569,67108418,1048566,67108234
0.00277591,True,False,True,False,False,True,False,True,True,1048580,67109128,1048574,67108744
0.00242615,True,False,True,True,False,False,False,True,True,1048586,67109507,1048567,1572857
0.00010085,True,True,True,False,True,True,False,True,True,1048570,1572861,1048571,67108545
0.00278401,True,False,True,False,True,True,False,True,True,1048573,67108680,1048567,67108293
0.00039697,True,False,True,True,False,True,True,True,True,1048572,67108611,1048574,1572862
0.00455785,True,True,True,True,True,False,True,True,False,1048574,1572864,1048584,1572877
2.694e-05,True,True,True,True,True,True,False,True,False,1048579,1572876,1048572,1572862
0.00925112,True,False,True,False,True,False,False,True,False,1048586,67109505,1048568,67108360
0.00199914,True,True,True,False,True,False,True,True,True,1048570,1572858,1048583,67109316
0.00457406,True,True,True,True,False,False,True,True,False,1048576,1572870,1048577,1572870
0.00060105,True,True,True,False,False,True,True,True,True,1048567,1572852,1048581,67109192
0.00195003,True,False,True,True,True,False,True,True,True,1048574,67108746,1048577,1572873
0.00010204,True,True,True,False,True,True,True,True,False,1048575,1572865,1048582,67109255
0.00278401,True,False,True,False,False,True,True,True,False,1048568,67108352,1048579,67109065
8.106e-05,True,False,True,True,True,True,False,True,False,1048581,67109187,1048574,1572861
0.0045619,True,True,True,True,False,False,True,True,True,1048566,1572856,1048569,1572862
0.00459194,True,True,True,True,False,False,False,True,False,1048581,1572874,1048584,1572886
0.00461793,True,True,True,True,False,False,False,True,True,1048579,1572872,1048567,1572855
0.00281811,True,False,True,False,True,True,False,True,True,1048570,67108480,1048568,67108358
0.00255704,True,False,True,True,False,False,False,True,False,1048571,67108551,1048576,1572872
0.00278711,True,False,True,False,True,False,True,True,False,1048581,67109189,1048571,67108551
2.003e-05,True,True,True,True,False,True,False,True,True,1048572,1572858,1048585,1572878
0.00457692,True,True,True,True,True,False,True,True,False,1048580,1572879,1048577,1572867
0.00010204,True,True,True,False,True,True,False,True,True,1048574,1572861,1048566,67108225
0.00041103,True,False,True,True,False,True,True,True,False,1048572,67108609,1048574,1572866
6.08e-05,True,False,True,True,True,True,True,True,True,1048584,67109379,1048575,1572868
0.00278592,True,False,True,False,True,True,True,True,False,1048571,67108551,1048579,67109056
