time,size1,density1,universe1,size2,density2,universe2
0.01143813,25726770,0.25,102907080,54288565,0.25,217154260
0.01839495,83261961,0.25,333047844,54252602,0.25,217010408
0.01587701,46130590,0.25,184522360,70348996,0.25,281395984
0.01726913,89273587,0.25,357094348,4571557,0.25,18286228
0.01854491,90457926,0.25,361831704,22319523,0.25,89278092
0.02003598,50365993,0.25,201463972,93021416,0.25,372085664
0.00992489,13552959,0.25,54211836,49674704,0.25,198698816
0.00837088,40286708,0.25,161146832,12699514,0.25,50798056
0.020087,67153832,0.25,268615328,89662982,0.25,358651928
0.01072407,38479699,0.25,153918796,47756135,0.25,191024540
0.02045012,92347903,0.25,369391612,59080916,0.25,236323664
0.02277303,96663007,0.25,386652028,93628817,0.25,374515268
0.01402092,15109048,0.25,60436192,70885810,0.25,283543240
0.00620317,11733252,0.25,46933008,30385106,0.25,121540424
0.02117491,58480547,0.25,233922188,95649679,0.25,382598716
0.01732802,20549141,0.25,82196564,87299387,0.25,349197548
0.01081896,23573279,0.25,94293116,51515114,0.25,206060456
0.02130914,92153636,0.25,368614544,84067339,0.25,336269356
0.01936293,11435740,0.25,45742960,98620980,0.25,394483920
0.01974297,97913810,0.25,391655240,14304434,0.25,57217736
0.01491499,65975943,0.25,263903772,54083823,0.25,216335292
0.01871014,96598271,0.25,386393084,2061060,0.25,8244240
0.01929593,92496024,0.25,369984096,32159371,0.25,128637484
0.01947999,94722760,0.25,378891040,22246952,0.25,88987808
0.01921701,51136103,0.25,204544412,89442887,0.25,357771548
0.00231695,5491613,0.25,21966452,10894343,0.25,43577372
0.01129198,49027299,0.25,196109196,46275314,0.25,185101256
0.02048397,46764057,0.25,187056228,95419693,0.25,381678772
0.02033901,98677483,0.25,394709932,26875726,0.25,107502904
0.01957703,85438724,0.25,341754896,69484119,0.25,277936476
0.01557708,45823336,0.25,183293344,72227894,0.25,288911576
0.00665092,32231953,0.25,128927812,9555601,0.25,38222404
0.01016378,48788796,0.25,195155184,15090360,0.25,60361440
0.01747799,80487597,0.25,321950388,44712254,0.25,178849016
0.01963902,98845979,0.25,395383916,3641432,0.25,14565728
0.02018714,89892894,0.25,359571576,66086371,0.25,264345484
0.02103996,42421560,0.25,169686240,99968925,0.25,399875700
0.01981616,28390089,0.25,113560356,96771328,0.25,387085312
0.01328301,62227751,0.25,248911004,29583259,0.25,118333036
0.00378394,19310597,0.25,77242388,1378042,0.25,5512168
0.00747991,5641578,0.25,22566312,39014552,0.25,156058208
0.01992989,67257284,0.25,269029136,89380792,0.25,357523168
0.01441503,62980750,0.25,251923000,56494537,0.25,225978148
0.01947999,35832913,0.25,143331652,93861271,0.25,375445084
0.01929712,9561271,0.25,38245084,99938715,0.25,399754860
0.01405597,43713583,0.25,174854332,62727934,0.25,250911736
0.01657319,43443059,0.25,173772236,78226789,0.25,312907156
0.00295401,1172697,0.25,4690788,15710040,0.25,62840160
0.01811194,49070230,0.25,196280920,85041602,0.25,340166408
0.01282692,31711198,0.25,126844792,59796280,0.25,239185120
0.01986384,95854297,0.25,383417188,29597367,0.25,118389468
0.01559806,74452153,0.25,297808612,23733991,0.25,94935964
0.01576114,48901269,0.25,195605076,72138093,0.25,288552372
0.02034307,77748652,0.25,310994608,89594693,0.25,358378772
0.01810384,6550269,0.25,26201076,93609311,0.25,374437244
0.0197711,95790237,0.25,383160948,25184430,0.25,100737720
0.00908995,42724218,0.25,170896872,20588882,0.25,82355528
0.004035,17868891,0.25,71475564,11463359,0.25,45853436
0.01100612,37677754,0.25,150711016,49403736,0.25,197614944
0.02087498,91949301,0.25,367797204,71289901,0.25,285159604
0.02215505,96439326,0.25,385757304,84117423,0.25,336469692
0.01091695,55436291,0.25,221745164,4483465,0.25,17933860
0.01004195,44130144,0.25,176520576,34713447,0.25,138853788
0.01750708,65187869,0.25,260751476,76806988,0.25,307227952
0.02027416,55945612,0.25,223782448,92818782,0.25,371275128
0.021698,88783179,0.25,355132716,92540935,0.25,370163740
0.02037883,87289160,0.25,349156640,82590769,0.25,330363076
0.01114511,10027435,0.25,40109740,57010852,0.25,228043408
0.01623201,25924512,0.25,103698048,79763704,0.25,319054816
0.00918889,45265292,0.25,181061168,6957980,0.25,27831920
0.01050901,43558920,0.25,174235680,45363748,0.25,181454992
