time,large1,dense1,large2,dense2,copy_on_write,run_containers,amalgamation,gcc_optimization,avx_enabled,size1,universe1,size2,universe2
3.982e-05,False,False,True,False,True,False,True,True,False,137,8776,1048567,67108290
6.986e-05,False,False,True,True,False,False,True,True,True,120,7682,1048566,1572854
6.199e-05,True,False,False,True,True,True,False,False,True,1048575,67108806,121,182
5.01e-06,False,False,False,True,False,True,True,True,True,136,8712,130,200
0.00013304,True,True,True,False,True,True,True,True,True,1048571,1572861,1048577,67108933
8.11e-06,False,True,False,False,False,True,True,True,True,123,192,129,8266
0.00077081,False,False,True,False,False,True,True,False,False,126,8074,1048567,67108295
5.603e-05,True,True,False,False,False,False,True,True,False,1048578,1572876,131,8392
0.00023103,True,True,True,True,False,False,True,False,False,1048569,1572860,1048574,1572869
5.01e-06,False,False,False,False,False,True,False,False,False,122,7811,133,8512
3.91e-05,True,False,False,False,True,True,True,True,True,1048586,67109509,131,8386
0.00027299,True,False,True,True,True,False,False,False,False,1048566,67108228,1048573,1572867
6.91e-06,True,True,False,True,True,False,True,False,True,1048579,1572869,126,199
6.91e-06,False,False,False,False,True,False,True,True,True,128,8199,134,8585
1.216e-05,False,False,False,False,True,True,False,False,True,132,8449,122,7814
0.00012612,True,False,True,True,True,False,True,True,True,1048567,67108289,1048586,1572888
6.91e-06,False,True,True,True,True,False,False,True,True,119,187,1048585,1572880
6.604e-05,False,False,True,True,False,False,False,True,True,132,8450,1048572,1572868
0.00341296,True,False,True,False,True,True,True,True,False,1048570,67108486,1048578,67108993
8.11e-06,False,False,False,True,True,True,False,False,False,132,8455,121,182
1.001e-05,True,True,False,True,True,False,True,True,True,1048583,1572878,132,208
5.96e-06,True,True,False,True,True,False,False,True,False,1048566,1572850,119,178
0.0096209,True,False,True,False,False,False,False,True,False,1048567,67108297,1048570,67108483
1.097e-05,False,False,False,False,False,True,False,False,True,132,8449,120,7687
4.387e-05,True,False,False,True,True,False,True,False,True,1048582,67109254,123,189
0.00023603,True,True,True,True,False,True,False,False,True,1048572,1572867,1048568,1572860
8.82e-06,False,True,False,False,True,False,False,False,True,120,187,130,8321
0.00076795,True,False,False,False,False,True,True,False,True,1048571,67108553,123,7881
0.00011992,True,False,True,True,True,False,True,True,False,1048579,67109058,1048579,1572869
0.00089407,True,True,True,False,False,False,True,False,False,1048571,1572858,1048577,67108928
5.01e-06,False,True,False,True,True,True,False,False,True,124,189,119,185
0.00076699,True,False,False,True,False,True,False,True,False,1048576,67108866,132,199
1.001e-05,False,False,False,False,False,True,True,False,False,121,7752,134,8577
8.106e-05,True,True,True,True,True,True,True,True,True,1048568,1572856,1048579,1572874
8.917e-05,True,True,True,True,True,True,False,True,False,1048566,1572850,1048567,1572851
8.11e-06,False,True,False,False,True,False,False,True,True,122,188,134,8579
0.00340891,True,False,True,False,True,False,True,True,True,1048581,67109187,1048584,67109385
4.005e-05,False,False,True,False,True,True,True,True,False,124,7940,1048575,67108800
1.502e-05,False,True,True,True,True,True,True,False,True,124,192,1048580,1572875
7.87e-06,False,True,False,True,False,False,True,True,True,138,217,123,190
4.792e-05,True,False,False,False,True,False,True,False,True,1048583,67109321,129,8263
5.01e-06,False,True,False,False,True,False,True,True,True,138,207,126,8072
8.11e-06,False,True,False,False,False,True,False,False,True,129,201,127,8132
0.00073195,False,False,True,False,False,False,False,True,True,123,7872,1048570,67108489
5.96e-06,False,True,True,True,True,True,False,True,True,121,191,1048576,1572867
0.00088,True,True,True,False,False,True,True,True,False,1048586,1572885,1048583,67109318
