time,size1,density1,universe1,size2,density2,universe2
0.00281096,86989782,0.8,108737227,41695626,0.8,52119532
0.00168896,34011033,0.8,42513791,47516372,0.8,59395465
0.00256395,42853149,0.8,53566436,72124905,0.8,90156131
0.00244999,50625629,0.8,63282036,67612598,0.8,84515747
0.00278401,88750676,0.8,110938345,32104726,0.8,40130907
0.00262809,74946123,0.8,93682653,48745149,0.8,60931436
0.00278211,88813217,0.8,111016521,30910298,0.8,38637872
0.00034308,13933464,0.8,17416830,2691653,0.8,3364566
0.00182509,48221383,0.8,60276728,43319137,0.8,54148921
0.00140309,15735808,0.8,19669760,45244183,0.8,56555228
0.00253701,3630951,0.8,4538688,94240961,0.8,117801201
0.00205398,62513950,0.8,78142437,29461240,0.8,36826550
0.00339293,73622123,0.8,92027653,89945519,0.8,112431898
0.00157809,56284242,0.8,70355302,10720748,0.8,13400935
0.00163317,47180305,0.8,58975381,28873416,0.8,36091770
0.0024128,82333636,0.8,102917045,12091535,0.8,15114418
0.00268102,6551379,0.8,8189223,94992740,0.8,118740925
0.00367785,82130588,0.8,102663235,81934552,0.8,102418190
0.00204182,69489001,0.8,86861251,15270579,0.8,19088223
0.00286198,73779715,0.8,92224643,70519964,0.8,88149955
0.00177407,27587672,0.8,34484590,55745111,0.8,69681388
0.00225592,56701447,0.8,70876808,58113103,0.8,72641378
0.00376201,98389983,0.8,122987478,75358113,0.8,94197641
0.00251889,70777873,0.8,88472341,46243428,0.8,57804285
0.00263596,98044934,0.8,122556167,1128496,0.8,1410620
0.00241399,91226828,0.8,114033535,314817,0.8,393521
0.00166392,47341506,0.8,59176882,26630399,0.8,33287998
0.00155187,10511524,0.8,13139405,53148503,0.8,66435628
0.0027442,30113187,0.8,37641483,87873627,0.8,109842033
0.00349307,91257840,0.8,114072300,71147777,0.8,88934721
0.00253606,85024308,0.8,106280385,22542494,0.8,28178117
0.00246096,11187628,0.8,13984535,86919787,0.8,108649733
0.00153589,11338722,0.8,14173402,50225219,0.8,62781523
0.00396895,99796536,0.8,124745670,88555053,0.8,110693816
0.00193214,36990620,0.8,46238275,49177659,0.8,61472073
0.00269485,40225369,0.8,50281711,78923359,0.8,98654198
0.00337005,98307616,0.8,122884520,57942237,0.8,72427796
0.00207496,52885262,0.8,66106577,52754061,0.8,65942576
0.00321293,95331305,0.8,119164131,52855535,0.8,66069418
0.00112796,34241734,0.8,42802167,21678201,0.8,27097751
0.0034492,94830027,0.8,118537533,66651254,0.8,83314067
0.00181794,54562738,0.8,68203422,29005326,0.8,36256657
0.00042009,10865938,0.8,13582422,11953597,0.8,14941996
0.00302887,98648529,0.8,123310661,29434047,0.8,36792558
0.00366712,84087458,0.8,105109322,96871847,0.8,121089808
0.00079393,30736051,0.8,38420063,1733042,0.8,2166302
0.0028429,84161728,0.8,105202160,46528364,0.8,58160455
0.00268984,96220800,0.8,120276000,8447986,0.8,10559982
0.00155592,56040791,0.8,70050988,9238117,0.8,11547646
0.00289893,23437830,0.8,29297287,97106010,0.8,121382512
0.00138903,45790898,0.8,57238622,15863654,0.8,19829567
0.00282288,69081861,0.8,86352326,71363998,0.8,89204997
0.0031538,89845802,0.8,112307252,53425681,0.8,66782101
0.00131702,26902795,0.8,33628493,35884345,0.8,44855431
0.00250101,80176748,0.8,100220935,30003542,0.8,37504427
0.00031281,3402781,0.8,4253476,12043348,0.8,15054185
0.00212908,68578802,0.8,85723502,24128772,0.8,30160965
0.00256896,1665798,0.8,2082247,91948155,0.8,114935193
0.00172901,47301611,0.8,59127013,34176513,0.8,42720641
0.00095105,32134230,0.8,40167787,11645842,0.8,14557302
0.00298095,87698214,0.8,109622767,48306103,0.8,60382628
0.00230598,48378159,0.8,60472698,63912947,0.8,79891183
0.00242496,41700102,0.8,52125127,72935126,0.8,91168907
0.00048208,16769070,0.8,20961337,6912875,0.8,8641093
0.00123787,17397281,0.8,21746601,37628675,0.8,47035843
0.0025332,74620019,0.8,93275023,39519161,0.8,49398951
0.00174689,64753418,0.8,80941772,375796,0.8,469745
0.00349498,83810674,0.8,104763342,89772680,0.8,112215850
0.00149417,4562112,0.8,5702640,53391201,0.8,66739001
0.00283599,38808718,0.8,48510897,85270343,0.8,106587928
0.00276089,90096050,0.8,112620062,32577517,0.8,40721896
0.00371099,92477279,0.8,115596598,93264572,0.8,116580715
0.00190806,26215205,0.8,32769006,59038788,0.8,73798485
0.00290513,46484087,0.8,58105108,82362206,0.8,102952757
0.00337195,98431768,0.8,123039710,58166673,0.8,72708341
