time,size1,density1,universe1,size2,density2,universe2
0.03768802,25361335,0.1,253613350,68976787,0.1,689767870
0.04569697,83660448,0.1,836604480,22493660,0.1,224936600
0.03401709,55822651,0.1,558226510,39197093,0.1,391970930
0.02722311,54497305,0.1,544973050,1147132,0.1,11471320
0.00260711,67205138,0.8,84006422,62588587,0.8,78235733
0.03616095,19906052,0.1,199060520,67968910,0.1,679689100
0.02559781,572521,0.1,5725210,50922347,0.1,509223470
0.01830602,74037687,0.25,296150748,72961729,0.25,291846916
0.03679609,6784477,0.1,67844770,72112964,0.1,721129640
0.00742888,23175677,0.25,92702708,33146903,0.25,132587612
0.04926991,9506735,0.1,95067350,95754002,0.1,957540020
0.03696918,65545371,0.1,655453710,32695278,0.1,326952780
0.00520802,7776184,0.25,31104736,25306142,0.25,101224568
0.01476598,67813912,0.25,271255648,13658144,0.25,54632576
0.01637387,65107955,0.25,260431820,66993535,0.25,267974140
0.04286909,79836630,0.1,798366300,10535047,0.1,105350470
0.00314093,84218571,0.8,105273213,61950663,0.8,77438328
0.04618216,18820379,0.1,188203790,85970630,0.1,859706300
0.01055002,369457,0.25,1477828,54592278,0.25,218369112
0.00200081,65838407,0.8,82298008,20712421,0.8,25890526
0.05241013,56716706,0.1,567167060,88281327,0.1,882813270
0.02468991,45792972,0.1,457929720,5977491,0.1,59774910
0.01750088,54119327,0.25,216477308,73554451,0.25,294217804
0.00282288,59176267,0.8,73970333,74122138,0.8,92652672
0.00134492,87098,0.1,870980,3005821,0.1,30058210
0.00884509,14107826,0.25,56431304,41460746,0.25,165842984
0.01550913,23135386,0.25,92541544,73946547,0.25,295786188
0.00351501,95184719,0.8,118980898,69853380,0.8,87316725
0.01930308,15258977,0.25,61035908,92427641,0.25,369710564
0.00323105,79700417,0.8,99625521,72219043,0.8,90273803
0.04858088,16336882,0.1,163368820,91603111,0.1,916031110
0.01824498,34579582,0.1,345795820,2684880,0.1,26848800
0.00075316,27850719,0.8,34813398,5623418,0.8,7029272
0.05808592,91617273,0.1,916172730,93923577,0.1,939235770
0.01624084,68654246,0.25,274616984,53229859,0.25,212919436
0.00209308,59936491,0.8,74920613,43826331,0.8,54782913
0.00308704,90274018,0.8,112842522,52308793,0.8,65385991
0.00114608,27953015,0.8,34941268,29201939,0.8,36502423
0.0011189,43986333,0.8,54982916,2405062,0.8,3006327
0.03920984,67112592,0.1,671125920,42703836,0.1,427038360
0.00193095,9526362,0.25,38105448,2523398,0.25,10093592
0.00808001,35969269,0.25,143877076,22763935,0.25,91055740
0.00187898,64622503,0.8,80778128,16180047,0.8,20225058
0.00708604,32071994,0.25,128287976,12351666,0.25,49406664
0.01999497,88053651,0.25,352214604,44068439,0.25,176273756
0.00275517,73178098,0.8,91472622,54316588,0.8,67895735
0.02379489,87849112,0.25,351396448,94718013,0.25,378872052
0.00089002,30102436,0.8,37628045,10814188,0.8,13517735
0.02188301,42411725,0.1,424117250,1951630,0.1,19516300
0.01088214,10938446,0.25,43753784,53138545,0.25,212554180
0.03222084,57176150,0.1,571761500,24067439,0.1,240674390
0.0183928,2268756,0.25,9075024,92404038,0.25,369616152
0.01567483,68581060,0.25,274324240,33050459,0.25,132201836
0.04718494,83563905,0.1,835639050,31293216,0.1,312932160
0.00105286,36497181,0.8,45621476,10832525,0.8,13540656
0.02193713,44098835,0.25,176395340,97080496,0.25,388321984
0.00335598,63358847,0.8,79198558,89972526,0.8,112465657
0.04665613,17676596,0.1,176765960,86362450,0.1,863624500
0.03235197,58317711,0.1,583177110,23924050,0.1,239240500
0.01827693,76274706,0.25,305098824,57487803,0.25,229951212
0.01832008,75496902,0.25,301987608,61163023,0.25,244652092
0.00227284,58985516,0.8,73731895,55620676,0.8,69525845
0.03663278,68003735,0.1,680037350,16465483,0.1,164654830
0.0175209,75614751,0.25,302459004,44085707,0.25,176342828
0.00314689,56054422,0.8,70068027,86911029,0.8,108638786
0.00232697,88229130,0.8,110286412,3308528,0.8,4135660
0.05836511,94035789,0.1,940357890,76489888,0.1,764898880
0.05250406,30092820,0.1,300928200,94985742,0.1,949857420
0.05917501,83101586,0.1,831015860,97335111,0.1,973351110
0.03488398,58743704,0.1,587437040,42812933,0.1,428129330
0.00115609,30954049,0.8,38692561,30859100,0.8,38573875
0.00148988,60515796,0.8,75644745,454228,0.8,567785
0.04604077,85429371,0.1,854293710,16588523,0.1,165885230
0.02248907,62635574,0.25,250542296,95273638,0.25,381094552
0.04095793,68963374,0.1,689633740,53544320,0.1,535443200
0.00248384,24804923,0.8,31006153,77965043,0.8,97456303
0.00175095,56039927,0.8,70049908,21030098,0.8,26287622
0.00210905,24344813,0.8,30431016,66337119,0.8,82921398
0.05163693,88913732,0.1,889137320,44611096,0.1,446110960
0.04874802,12509552,0.1,125095520,92994196,0.1,929941960
0.01617002,38831456,0.25,155325824,70986787,0.25,283947148
0.01357794,58601628,0.25,234406512,38497495,0.25,153989980
0.00188494,69285243,0.8,86606553,8148680,0.8,10185850
0.039325,8255956,0.1,82559560,74959783,0.1,749597830
0.00210905,19209389,0.8,24011736,70207951,0.8,87759938
0.00841689,39042213,0.25,156168852,12714432,0.25,50857728
0.01016307,48884256,0.25,195537024,6202945,0.25,24811780
0.00471401,14036727,0.25,56146908,21545780,0.25,86183120
0.00181603,51704890,0.8,64631112,35459436,0.8,44324295
0.002177,31979969,0.8,39974961,66761943,0.8,83452428
0.00364017,97224344,0.8,121530430,68266088,0.8,85332610
0.00158095,39291464,0.8,49114330,38815025,0.8,48518781
0.02073622,65748054,0.25,262992216,88615135,0.25,354460540
0.00243402,59732730,0.8,74665912,57330545,0.8,71663181
0.00236583,44752752,0.8,55940940,68418896,0.8,85523620
0.00167799,24413028,0.8,30516285,50516490,0.8,63145612
0.01380205,62070799,0.25,248283196,29443870,0.25,117775480
0.020509,97132030,0.25,388528120,15336845,0.25,61347380
0.00287986,70970771,0.8,88713463,69972606,0.8,87465757
0.00242805,67335065,0.8,84168831,43168379,0.8,53960473
0.00131297,32985029,0.8,41231286,32472676,0.8,40590845
0.06041598,98342435,0.1,983424350,78875497,0.1,788754970
0.0081141,3944026,0.25,15776104,40768423,0.25,163073692
0.00305414,14552990,0.25,58211960,5266521,0.25,21066084
0.0272789,9823130,0.1,98231300,51840205,0.1,518402050
0.03151798,56986284,0.1,569862840,24189248,0.1,241892480
0.02002621,37917660,0.1,379176600,8359168,0.1,83591680
0.03048611,41976195,0.1,419761950,51184708,0.1,511847080
0.01899099,20141470,0.1,201414700,33323487,0.1,333234870
0.03871584,71928157,0.1,719281570,14339180,0.1,143391800
0.00959206,41365399,0.25,165461596,27654920,0.25,110619680
0.05555606,45641702,0.1,456417020,98725114,0.1,987251140
0.00177908,1017794,0.8,1272242,65822049,0.8,82277561
0.03758788,44601879,0.1,446018790,63415927,0.1,634159270
0.00057316,20979061,0.8,26223826,4735352,0.8,5919190
0.04878402,79920812,0.1,799208120,57937918,0.1,579379180
0.03588605,1993773,0.1,19937730,71799395,0.1,717993950
0.01366401,21569709,0.1,215697090,22098108,0.1,220981080
0.00366402,99566335,0.8,124457918,71317764,0.8,89147205
0.040488,60338892,0.1,603388920,66729432,0.1,667294320
0.00323009,78541077,0.8,98176346,82594731,0.8,103243413
0.00271678,85566850,0.8,106958562,35639105,0.8,44548881
0.00318599,81639251,0.8,102049063,78176433,0.8,97720541
0.00089884,6555519,0.8,8194398,30006970,0.8,37508712
0.02346611,40298116,0.1,402981160,28062377,0.1,280623770
0.01917815,2922216,0.25,11688864,95642091,0.25,382568364
0.00288105,80209660,0.8,100262075,56328539,0.8,70410673
0.03115392,27617364,0.1,276173640,55032262,0.1,550322620
0.01797485,76571757,0.25,306287028,58277458,0.25,233109832
0.00230289,72071197,0.8,90088996,30495790,0.8,38119737
0.00172091,44871641,0.8,56089551,39516623,0.8,49395778
